id,ar,latin,tr,siga
1,فَعَلَ,FEALE,Yaptı,Fi’l-i mâzî
2,يَفْعِلُ,Yefilü,"Yapıyor,yapar,yapacak",Fi’l-i muzârî
3,فَعْلًا,Feğlen,Yapmak,Masdar-ı gayr-i mimî
4,فَاعِلٌ,Failün,Yapan,İsm-i fâil
5,مَفْعُولٌ,Mefulün,Yapılan,İsm-i mef’ûl
6,لَمْ يَفْعِلْ,Lemyefil,Yapmadı,Fi’l-i muzârî cahd-i mutlak
7,لَمَّا يَفْعِلْ,Lemmayefil,Henüz yapmadı,Fi’l-i muzârî cahd-i müstağrak
8,مَا يَفْعِلُ,Mayefilü,Yapmıyor,Fi’l-i muzârî nefy-i hâl
9,لَا يَفْعِلُ,Layefilü,Yapmayacak,Fi’l-i muzârî nefy-i istikbâl
10,لَنْ يَفْعِلَ,Lenyefile,Elbette yapmayacak,Fi’l-i muzârî te’kîd-i nefy-i istikbâl
11,لِيَفْعِلْ,Liyefil,Yapsın,Emr-i gâib
12,لَا يَفْعِلْ,Layefil,Yapmasın,Nehy-i gâib
13,اِفْعِلْ,İfil,Yap,Emr-i hâzır
14,لَا تَفْعِلْ,Latefil,Yapma,Nehy-i hâzır
15,مَفْعِلْ,Mefil,"Yapma yeri,yapma zamanı ,yapmak","İsm-i zaman İsm-i mekân,Masdar-ı mimî"
16,مِفْعِلٌ,Mifilün,Yapma aleti,İsm-i âlet
17,فَعْلَةً,Feğleten,Bir kere yapmak,Masdar binâ-i merra
18,فِعْلَةً,Fiğleten,Bir türlü yapmak,Masdar binâ-i nevi
19,فُعَيْلٌ,Füeylün,Yapmacık,İsm-i tasğîr
20,فَعْلِىٌّ,Feğliyyun,Yapmaya mensup,İsm-i mensûb
21,فَعَّالٌ,Fealün,Çok çok yapan,Mübâlağa-i ism-i fâil
22,اَفْعَلُ,Efalü,Ziyade yapan,İsm-i tafdîl
23,مَا اَفْعَلَهُ,Maefalehü,Acayip yapan,Fi’l-i taaccüb-i evvel
24,وَ اَفْعِلْ بِهِ,Veefilbihi,Ne acayip yapan,Fi’l-i taaccüb-i sânî
1,قَالَ,GALE,Dedi-Söyledi,Fi’l-i mâzî
2,يَقُولُ,Yegulü,Der-diyecek,Fi’l-i muzârî
3,قَوْلًا,Gavlen,Söylemek,Masdar-ı gayr-i mimî
4,قَإِلٌ,Gailün,Söyleyici,İsm-i fâil
5,مَقُولٌ,Megulün,Söylenmiş,İsm-i mef’ûl
6,لَمْ يَقُلْ,Lemyegul,Söylemedi,Fi’l-i muzârî cahd-i mutlak
7,لَمَّا ايَقُلْ,Lemmayegul,Henüz söylemedi,Fi’l-i muzârî cahd-i müstağrak
8,مَا يَقُولُ,Mayegulü,Söylemiyor,Fi’l-i muzârî nefy-i hâl
9,لَا يَقُولُ,Layegulü,Söylemeyecek,Fi’l-i muzârî nefy-i istikbâl
10,لَنْ يَقُولَ,Lenyegule,Elbette söylemeyecek,Fi’l-i muzârî te’kîd-i nefy-i istikbâl
11,لِيَقُلْ,Liyegul,Söylesin,Emr-i gâib
12,لَا يَقُلْ,Layegul,Söylemesin,Nehy-i gâib
13,قُلْ,Gul,Söyle,Emr-i hâzır
14,لَا تَقُلْ,Lategul,Söyleme,Nehy-i hâzır
15,مَقَالٌ,Magalün,Söylemek,"İsm-i zaman İsm-i mekân,Masdar-ı mimî"
16,مِقْوَلٌ,Migvalün,Söyleme aleti,İsm-i âlet
17,قَوْلَةً,Gavleten,Bir kere söylemek,Masdar binâ-i merra
18,قِيلَةً,Gileten,Bir nevi söylemek,Masdar binâ-i nevi
19,قُوَيْلٌ,Guveylün,Söylemecik,İsm-i tasğîr
20,قَوْلِيٌّ,Gavliyyun,Söylemeye mensup,İsm-i mensûb
21,قَوَّالٌ,Gavvalün,Ziyade söyleyici,Mübâlağa-i ism-i fâil
22,أَقْوَلُ,Egvalü,Daha fazla söyledi,İsm-i tafdîl
23,مَا أَقَالَهُ,Maegalehu,Acaib söyledi,Fi’l-i taaccüb-i evvel
24,وَأَقِلْ بِهِ,Veegilbihi,Ne acaib söyledi,Fi’l-i taaccüb-i sânî
1,عَبَدَ,ABEDE,Kulluk etti,Fi’l-i mâzî
2,يَعْبُدُ,Yağbudu,Kulluk ediyor,Fi’l-i muzârî
3,عَبْدً,Abden,Kulluk etmek,Masdar-ı gayr-i mimî
4,عَابِدٌ,Abidun,Kulluk eden,İsm-i fâil
